iteration,clock_source,vreg,divider,range,freqa,freqb,clock_freq
0,rosc,11,16,fa6,0007,0077,15753
0,rosc,11,16,fa6,0007,0777,15708
0,rosc,11,16,fa6,0007,7777,15690
0,rosc,11,16,fa6,0077,0007,20951
0,rosc,11,16,fa6,0077,0077,20941
0,rosc,11,16,fa6,0077,0777,20910
0,rosc,11,16,fa6,0077,7777,20894
0,rosc,11,16,fa6,0777,0007,20795
0,rosc,11,16,fa6,0777,0077,20764
0,rosc,11,16,fa6,0777,0777,20746
0,rosc,11,16,fa6,0777,7777,20740
0,rosc,11,16,fa6,7777,0007,20764
0,rosc,11,16,fa6,7777,0077,20735
0,rosc,11,16,fa6,7777,0777,20676
0,rosc,11,16,fa6,7777,7777,20632
0,rosc,11,21,fa4,0007,0007,4574
0,rosc,11,21,fa4,0007,0077,4916
0,rosc,11,21,fa4,0007,0777,5360
0,rosc,11,21,fa4,0007,7777,5693
0,rosc,11,21,fa4,0077,0007,4981
0,rosc,11,21,fa4,0077,0077,5392
0,rosc,11,21,fa4,0077,0777,5930
0,rosc,11,21,fa4,0077,7777,6335
0,rosc,11,21,fa4,0777,0007,5310
0,rosc,11,21,fa4,0777,0077,5780
0,rosc,11,21,fa4,0777,0777,6396
0,rosc,11,21,fa4,0777,7777,6882
0,rosc,11,21,fa4,7777,0007,5837
0,rosc,11,21,fa4,7777,0077,6409
0,rosc,11,21,fa4,7777,0777,7182
0,rosc,11,21,fa4,7777,7777,7796
0,rosc,11,21,fa5,0007,0007,5822
0,rosc,11,21,fa5,0007,0077,6458
0,rosc,11,21,fa5,0007,0777,6446
0,rosc,11,21,fa5,0007,7777,6445
0,rosc,11,21,fa5,0077,0007,6503
0,rosc,11,21,fa5,0077,0077,7309
0,rosc,11,21,fa5,0077,0777,7289
0,rosc,11,21,fa5,0077,7777,7290
0,rosc,11,21,fa5,0777,0007,7079
0,rosc,11,21,fa5,0777,0077,8051
0,rosc,11,21,fa5,0777,0777,8025
0,rosc,11,21,fa5,0777,7777,8025
0,rosc,11,21,fa5,7777,0007,8048
0,rosc,11,21,fa5,7777,0077,9317
0,rosc,11,21,fa5,7777,0777,9283
0,rosc,11,21,fa5,7777,7777,9279
0,rosc,11,21,fa7,0007,0007,7449
0,rosc,11,21,fa7,0007,0077,7456
0,rosc,11,21,fa7,0007,0777,7478
0,rosc,11,21,fa7,0007,7777,7476
0,rosc,11,21,fa7,0077,0007,8599
0,rosc,11,21,fa7,0077,0077,8620
0,rosc,11,21,fa7,0077,0777,8643
0,rosc,11,21,fa7,0077,7777,8646
0,rosc,11,21,fa7,0777,0007,9650
0,rosc,11,21,fa7,0777,0077,9673
0,rosc,11,21,fa7,0777,0777,9691
0,rosc,11,21,fa7,0777,7777,9700
0,rosc,11,21,fa7,7777,0007,11818
0,rosc,11,21,fa7,7777,0077,11818
0,rosc,11,21,fa7,7777,0777,11822
0,rosc,11,21,fa7,7777,7777,11828
0,rosc,11,21,fa6,0007,0007,12024
0,rosc,11,21,fa6,0007,0077,12005
0,rosc,11,21,fa6,0007,0777,11974
0,rosc,11,21,fa6,0007,7777,11958
0,rosc,11,21,fa6,0077,0007,15968
0,rosc,11,21,fa6,0077,0077,15962
0,rosc,11,21,fa6,0077,0777,15933
0,rosc,11,21,fa6,0077,7777,15937
0,rosc,11,21,fa6,0777,0007,15870
0,rosc,11,21,fa6,0777,0077,15824
0,rosc,11,21,fa6,0777,0777,15820
0,rosc,11,21,fa6,0777,7777,15819
0,rosc,11,21,fa6,7777,0007,15819
0,rosc,11,21,fa6,7777,0077,15816
0,rosc,11,21,fa6,7777,0777,15770
0,rosc,11,21,fa6,7777,7777,15728
0,rosc,11,26,fa4,0007,0007,3694
0,rosc,11,26,fa4,0007,0077,3971
0,rosc,11,26,fa4,0007,0777,4330
0,rosc,11,26,fa4,0007,7777,4598
0,rosc,11,26,fa4,0077,0007,4025
0,rosc,11,26,fa4,0077,0077,4354
0,rosc,11,26,fa4,0077,0777,4787
0,rosc,11,26,fa4,0077,7777,5118
0,rosc,11,26,fa4,0777,0007,4290
0,rosc,11,26,fa4,0777,0077,4667
0,rosc,11,26,fa4,0777,0777,5170
0,rosc,11,26,fa4,0777,7777,5559
0,rosc,11,26,fa4,7777,0007,4715
0,rosc,11,26,fa4,7777,0077,5178
0,rosc,11,26,fa4,7777,0777,5801
0,rosc,11,26,fa4,7777,7777,6297
0,rosc,11,26,fa5,0007,0007,4701
0,rosc,11,26,fa5,0007,0077,5214
0,rosc,11,26,fa5,0007,0777,5205
0,rosc,11,26,fa5,0007,7777,5205
0,rosc,11,26,fa5,0077,0007,5255
0,rosc,11,26,fa5,0077,0077,5906
0,rosc,11,26,fa5,0077,0777,5892
0,rosc,11,26,fa5,0077,7777,5889
0,rosc,11,26,fa5,0777,0007,5720
0,rosc,11,26,fa5,0777,0077,6501
0,rosc,11,26,fa5,0777,0777,6482
0,rosc,11,26,fa5,0777,7777,6480
0,rosc,11,26,fa5,7777,0007,6496
0,rosc,11,26,fa5,7777,0077,7524
0,rosc,11,26,fa5,7777,0777,7494
0,rosc,11,26,fa5,7777,7777,7494
0,rosc,11,26,fa7,0007,0007,6010
0,rosc,11,26,fa7,0007,0077,6022
0,rosc,11,26,fa7,0007,0777,6026
0,rosc,11,26,fa7,0007,7777,6022
0,rosc,11,26,fa7,0077,0007,6948
0,rosc,11,26,fa7,0077,0077,6967
0,rosc,11,26,fa7,0077,0777,6980
0,rosc,11,26,fa7,0077,7777,6980
0,rosc,11,26,fa7,0777,0007,7788
0,rosc,11,26,fa7,0777,0077,7817
0,rosc,11,26,fa7,0777,0777,7830
0,rosc,11,26,fa7,0777,7777,7834
0,rosc,11,26,fa7,7777,0007,9542
0,rosc,11,26,fa7,7777,0077,9543
0,rosc,11,26,fa7,7777,0777,9550
0,rosc,11,26,fa7,7777,7777,9548
0,rosc,11,26,fa6,0007,0007,9717
0,rosc,11,26,fa6,0007,0077,9694
0,rosc,11,26,fa6,0007,0777,9671
0,rosc,11,26,fa6,0007,7777,9656
0,rosc,11,26,fa6,0077,0007,12893
0,rosc,11,26,fa6,0077,0077,12894
0,rosc,11,26,fa6,0077,0777,12858
0,rosc,11,26,fa6,0077,7777,12863
0,rosc,11,26,fa6,0777,0007,12809
0,rosc,11,26,fa6,0777,0077,12784
0,rosc,11,26,fa6,0777,0777,12775
0,rosc,11,26,fa6,0777,7777,12765
0,rosc,11,26,fa6,7777,0007,12780
0,rosc,11,26,fa6,7777,0077,12768
0,rosc,11,26,fa6,7777,0777,12726
0,rosc,11,26,fa6,7777,7777,12707
0,rosc,10,01,fa4,0007,0007,84918
0,rosc,10,01,fa4,0007,0077,91290
0,rosc,10,01,fa4,0007,0777,99652
