vreg,divider,range,freqa,freqb,clock_freq
11,01,fa4,3777,5777,162251
11,01,fa4,3777,7777,163530
11,01,fa4,5777,0001,120729
11,01,fa4,5777,0003,122589
11,01,fa4,5777,0005,122653
11,01,fa4,5777,0007,123616
11,01,fa4,5777,0017,131487
11,01,fa4,5777,0037,134189
11,01,fa4,5777,0057,133993
11,01,fa4,5777,0077,135507
11,01,fa4,5777,0177,145735
11,01,fa4,5777,0377,149252
11,01,fa4,5777,0577,149430
11,01,fa4,5777,0777,151183
11,01,fa4,5777,1777,159087
11,01,fa4,5777,3777,161800
11,01,fa4,5777,5777,162202
11,01,fa4,5777,7777,163552
11,01,fa4,7777,0001,122012
11,01,fa4,7777,0003,123969
11,01,fa4,7777,0005,123984
11,01,fa4,7777,0007,124981
11,01,fa4,7777,0017,133057
11,01,fa4,7777,0037,135819
11,01,fa4,7777,0057,135645
11,01,fa4,7777,0077,137157
11,01,fa4,7777,0177,147655
11,01,fa4,7777,0377,151314
11,01,fa4,7777,0577,151457
11,01,fa4,7777,0777,153302
11,01,fa4,7777,1777,161341
11,01,fa4,7777,3777,164238
11,01,fa4,7777,5777,164679
11,01,fa4,7777,7777,166007
11,01,fa5,0001,0001,120410
11,01,fa5,0001,0003,121955
11,01,fa5,0001,0005,122200
11,01,fa5,0001,0007,122818
11,01,fa5,0001,0017,131219
11,01,fa5,0001,0037,134127
11,01,fa5,0001,0057,133934
11,01,fa5,0001,0077,135588
11,01,fa5,0001,0177,135497
11,01,fa5,0001,0377,135418
11,01,fa5,0001,0577,135475
11,01,fa5,0001,0777,135318
11,01,fa5,0001,1777,135333
11,01,fa5,0001,3777,135323
11,01,fa5,0001,5777,135233
11,01,fa5,0001,7777,135272
11,01,fa5,0003,0001,122221
11,01,fa5,0003,0003,123835
11,01,fa5,0003,0005,124061
11,01,fa5,0003,0007,124681
11,01,fa5,0003,0017,133445
11,01,fa5,0003,0037,136463
11,01,fa5,0003,0057,136228
11,01,fa5,0003,0077,137929
11,01,fa5,0003,0177,137866
11,01,fa5,0003,0377,137694
11,01,fa5,0003,0577,137753
11,01,fa5,0003,0777,137587
11,01,fa5,0003,1777,137587
11,01,fa5,0003,3777,137578
11,01,fa5,0003,5777,137557
11,01,fa5,0003,7777,137637
11,01,fa5,0005,0001,122192
11,01,fa5,0005,0003,123843
11,01,fa5,0005,0005,124058
11,01,fa5,0005,0007,124680
11,01,fa5,0005,0017,133443
11,01,fa5,0005,0037,136453
11,01,fa5,0005,0057,136243
11,01,fa5,0005,0077,137928
11,01,fa5,0005,0177,137868
11,01,fa5,0005,0377,137796
11,01,fa5,0005,0577,137778
11,01,fa5,0005,0777,137664
11,01,fa5,0005,1777,137721
11,01,fa5,0005,3777,137657
11,01,fa5,0005,5777,137684
11,01,fa5,0005,7777,137670
11,01,fa5,0007,0001,123096
11,01,fa5,0007,0003,124729
11,01,fa5,0007,0005,124959
11,01,fa5,0007,0007,125622
11,01,fa5,0007,0017,134417
11,01,fa5,0007,0037,137503
11,01,fa5,0007,0057,137248
11,01,fa5,0007,0077,138948
11,01,fa5,0007,0177,138991
11,01,fa5,0007,0377,138816
11,01,fa5,0007,0577,138857
11,01,fa5,0007,0777,138727
11,01,fa5,0007,1777,138768
11,01,fa5,0007,3777,138731
11,01,fa5,0007,5777,138769
11,01,fa5,0007,7777,138865
11,01,fa5,0017,0001,132027
11,01,fa5,0017,0003,133953
11,01,fa5,0017,0005,134176
11,01,fa5,0017,0007,134926
11,01,fa5,0017,0017,145179
11,01,fa5,0017,0037,148766
11,01,fa5,0017,0057,148543
11,01,fa5,0017,0077,150547
11,01,fa5,0017,0177,150535
11,01,fa5,0017,0377,150427
11,01,fa5,0017,0577,150330
11,01,fa5,0017,0777,150177
11,01,fa5,0017,1777,150165
11,01,fa5,0017,3777,150107
11,01,fa5,0017,5777,150169
11,01,fa5,0017,7777,150111
11,01,fa5,0037,0001,135019
